Title,Designers,link+url,Designers Work+url,Styles of Play+key,Description,Tags+key,,
The Decline of Panopticritia,E. E. COLI,http://www.goldencobra.org/pdf/2020/Coli_TheDeclineofPanopticritia.pdf,http://www.miserytourism.com/author/rudy/,"Freeform larp, Chat/Message, Streaming/Online Face to Face, Video/Transmedia","An elderly dragon fades slowly, surrounded by her dwindling entourage of princesses, knights, and sentient magic items","dementia, memory, sad, magic",,
The Perfect Dungeon,Ken Davidson,http://www.goldencobra.org/pdf/2020/Davidson_ThePerfectDungeon.pdf,https://davidson925.itch.io,"Freeform larp, Larp, Letter Writing, Streaming/Online Face to Face, Arts & Crafts","You are a dungeon boss, Oriole is coming to restore peace to Orothier and you must stop her. In order to do that, you will convene a meeting of the Dungeon Bosses in order to design The Perfect Dungeon","Mapmaking, fantasy, mail",,
Time to Leave,Ian Howard,http://www.goldencobra.org/pdf/2020/Howard_Time_to_Leave.pdf,,"Larp, Streaming/Online Face to Face",Time to Leave is a storytelling LARP for 4+ players over 10-20 minutes. It focuses on the waning hours of a gathering by dividing players into 2 roles: those who wish to Leave and those who wish to Stay. As players Leave -- or abandon the idea and Stay -- their fates will be sealed by their decisions.,"storytelling, LARP, face-to-face, group",,
Call Your Mother,R. Hart,http://www.goldencobra.org/pdf/2020/Hart_CallYourMother.pdf,https://docs.google.com/document/d/1TJdJwLubzUE6Vq_ALwhYwM1Fzn4Y9pFrhCCsihNljfM/edit?usp=sharing,"Freeform larp, Larp, Chat/Message","This is a game about calling your mother... or more accurately trying not to call them. One person plays the adult survivor of child abuse, the other plays the parent (and partner of the abuse, not the abuser themself). The two go back and forth, perhaps towards confrontation, but likely not resolution.","phone, abuse, parent",,
Scattered: A Multiversal Adventure,Chance J. Feldstein and Matthew Valentine,http://www.goldencobra.org/pdf/2020/FeldsteinValentine_Scattered-AMultiversalAdventure.pdf,www.alchemicalgaming.com/games,"Freeform larp, Larp, Letter Writing, Chat/Message, Streaming/Online Face to Face, Video/Transmedia, Performance, Arts & Crafts","Stranded and lost in vast, unfamiliar new worlds, how will you escape and become whole again?

""Scattered"" is a game about exploration, separation from those we care about, and achieving communal success despite that separation. It incorporates live video chat (with optional text chat “thought bubbles”) for group roleplay, travelogue-based world creation, and sending postal mail for mutual support. This game could be playable for many weeks or months, depending on the challenge level and cycle length chosen by your group. It will generate up to as many worlds as the number of players, worlds that will feel complex and “lived-in” by the game’s end. Perhaps you’ll later use the worlds you create together to run other games, write fiction, inspire new costume and makeup ideas, or for whatever other projects you might imagine.","emergent, cyclical, cooperative, multi-genre",,
A Single Step,Laura Wood,http://www.goldencobra.org/pdf/2020/Wood_ASingleStep.pdf,,"Larp, Pervasive Game/Public Play, Letter Writing, Chat/Message, Streaming/Online Face to Face, Video/Transmedia","A Single Step is a pervasive game with a theme of rebellion, dystopia and found family. The aim of the larp is to create a story which encourages players to challenge themselves to interact with the world and each other. The story is co-created and built around mutual support","Rebellion, Support, Challenge",,
Imagine a time when the war is over,Countess Dillymore,http://www.goldencobra.org/pdf/2020/Dillymore_Imagine_a_time_when_the_war_is_over.pdf,https://docs.google.com/document/d/1YpFL7TMVWorLUXJvMUx9mYvafuo9nFGUb5AO1H4JaeA/edit?usp=sharing,"Larp, Letter Writing","In a time of war, two lovers - or friends who might become lovers - write letters to each other. What do they remember of each other? Can they be together? And what happens if one of the letters is intercepted?","War, letter-writing, queer, romance",,
A Song For Our Remakers,Raph D'Amico,http://www.goldencobra.org/pdf/2020/DAmico_ASongForOurRemakers.pdf,https://docs.google.com/presentation/d/1Yr40qrlo7YNctGKBRUYBKKH-iTmlYTn5N-MfPIQQGps/edit?usp=sharing,Streaming/Online Face to Face,A game where you are Cosmic Beings who recreate a long-dead humanity from the real-life memories & songs of the players. Hitchhiker's Guide meets Bill & Ted.,"cosmic, cozy, connection",,
Jewel Warriors,Acata Felton,http://www.goldencobra.org/pdf/2020/Felton_JewelWarriors.pdf,N/A,"Freeform larp, Larp, Streaming/Online Face to Face","You and the rest of the Jewel Warriors have been fighting against the Dark Power of the Ultra Soldiers Army and their plans to destroy your home. This is the 11th hour; you thought you had a plan, but then something went wrong. 

Think of this game like the last episode in the season of a magical girl anime. One by one, the warriors were separated from each other and can now only communicate via com link. Your plans are in disarray, victory seems to be slipping from your grasp, and the pressure is widening cracks in the team. Can you reconnect and save the day?","Magical Girls, friendship.",,
Encrypt,"Alexandra Danilenko, Lev Tolmachev, Anna Gorovaya",http://www.goldencobra.org/pdf/2020/DanilenkoTolmachevGorovaya_Encrypt.pdf,,"Freeform larp, Streaming/Online Face to Face","You will participate in an official online board meeting of Newtown conglomeration about digital afterlife members' future.
This game touches on the themes of profitability vs humanity, moral principles vs human weaknesses. Each player will be faced with difficult choices, hidden information, and manipulations and will need to express their opinion on some of the acute problems in the cyberpunk environment.","cyberpunk, digital afterlife, negotiations, personal secrets",,
Do I Even Exist Anymore?,Hannah J. Gray,http://www.goldencobra.org/pdf/2020/Gray_DoIEvenExistAnymore.pdf,https://hjgray.itch.io/,"Freeform larp, Larp, Chat/Message","A human and an AI bot, both isolated and losing their sense of identity, reach out to one another. A 30 minute LARP played completely via text.","one-shot, text-based, identity, isolation",,
How are you?,"Alessandro Giovannucci, Margherita Masetti",http://www.goldencobra.org/pdf/2020/GiovannucciMasetti_HowAreYou.pdf,https://chaosleague.org/site/it/,"Freeform larp, Telphone/only sound","An emotional and intimate larp that explores the relationship between the
elderly and the young and their defining traits (in regard to their belonging to
different time periods: the past and the future, respectively). It will therefore
talk about topics such as loss and hope, life experiences and choices to
be made, as well as the comparison between different generations. In an
alternation of words said and heard over the phone, at night.","intimate, telephone, different generation, life choices",,
Punk Rock Ghosts Are Sexy Because They Love Kittens,David Rothfeder,http://www.goldencobra.org/pdf/2020/Rothfeder_PunkRockGhosts_are_Sexy_because_TheyLoveKittens.pdf,,"Pervasive Game/Public Play, Chat/Message",You're a ghost who listens to punk rock while surfing the internet for adorable animals and then posting your finds online,"Relaxing, silly, short",,
Whisk Me Away,Avital Lubin,http://www.goldencobra.org/pdf/2020/Lubin_WhiskMeAway.pdf,,"Freeform larp, Streaming/Online Face to Face","You’re all kitchen utensils --single and looking for a partner. You will be speed dating to find someone to spoon with. So, let’s stop forking around and get to it already. Light in tone.",Culinary. Dating. Light.,,
Date Dreams,Alex Sisk,http://www.goldencobra.org/pdf/2020/Sisk_DateDreams.pdf,,"Freeform larp, Pervasive Game/Public Play, Zero-Player Games, Non-Interactive App Interpretation","Players use their regular gay dating app to imagine abstract, dreamlike characters based on the incomplete, anonymized and exaggerated user profiles on the platform, and then play with these characters in different scenarios by asking and answering questions about them, all without interacting in any way with the people behind the profiles.","Gay, single-player, zero-player, online, erotic",,
Potatoes & Politics,Olivia Fischer,http://www.goldencobra.org/pdf/2020/Fischer_Potatoes_and_Politics.pdf,www.1000atmosphaeren.at,"Freeform larp, Larp, Chat/Message, Streaming/Online Face to Face","In ""Potatoes & Politics"" you take on the role of Greek Gods living in today’s world, having an online hangout due to the situation humanity is currently in. During the hangout:
+ You will decide if you help humanity to change one of their problems for the better. 
+ You will cook and eat together online with the other deities (recipe for an easily to prepare Greek vegan dish with only 5 ingredients, called “Skordalia”, in the included). 
+ You will play on conflicts and emotional connections according to the relations & memories you co-create in the preparatory phase of the larp. 
This larp is structured into different acts by cooking and eating together. In the course of the larp players will reflect on the UN's Sustainable Development Goals (SDGs) in a light-hearted way. 
Each player chooses the ingame gender their role identifies with nowadays. 
",#cooking #eating #SDGs #mythology,,
Letters From Home,Barak Blackburn & Ellie Hillis,http://www.goldencobra.org/pdf/2020/Blackburn_LettersHome.pdf,https://zine.games/,Letter Writing,A Letter Writing Game About Communication While Censored,"Letter-writing, Redacted, USPS",,
Arbor Day,Aaron Damon-Rush,http://www.goldencobra.org/pdf/2020/Damon-Rush_ArborDay.pdf,,"Freeform larp, Larp, Pervasive Game/Public Play, Journaling","You have angered the trees by disrespecting Arbor Day. As punishment, they have trapped you in a time loop. Now, Arbor Day is forever.","Freeform, journaling, self-reflection, timeloop",,
Nimble Things,Hazel Anneke Dixon,http://www.goldencobra.org/pdf/2020/Dixon_NimbleThings.pdf,,"Freeform larp, Larp, Streaming/Online Face to Face","Nimble Things is a freeform LARP ideal for 4-8 players and a facilitator designed to be played online. It combines finding items from around your surroundings and utilising them for gameplay. Players discover that they are changelings - creatures that were swapped with human children at a young age. They need to make the decision whether to leave for Arcadia - the realm of the fae - or remain in this world. It is a game about belonging, found family and what keeps us anchored.","larp, discussion, fae, online",,
Drawing Out the Demon,Liz Stong,http://www.goldencobra.org/pdf/2020/Stong_DrawingOutTheDemon.pdf,https://itch.io/profile/feelings-wave,"Freeform larp, Letter Writing, Chat/Message, Streaming/Online Face to Face, Arts & Crafts","A play-by-post game for 2-5 people played over several months about the creative process and constructive criticism. You are artists of small renown living in 12th century France. All of you have been commissioned to complete a piece of art that heavily features a specific animal. Unfortunately, while you may have great artistic skill in other areas, you are terrible at drawing anything relating to this one specific animal.

Later, you will play modern-day art historians at an academic symposium discussing the finer details of the works created through play.",play-by-post; art; creating; correspondence,,
Duels in the Tower of Eternity: An Epistolary Game of Sacrifice and Revolution,Abigail and Mark Stone,http://www.goldencobra.org/pdf/2020/Stone_Duels_in_the_Tower_of_Eternity_ A_ Epistolary_Game_of_Sacrifice_and_Revolution.pdf,,"Freeform larp, Larp, Letter Writing, Streaming/Online Face to Face","Two elite boarding schools, two groups of rivals dueling for the opportunity to change the world, and two friends caught in the middle. What are you willing to sacrifice to win the Prize?","epistolary, duels, revolution",,
The Future of Sports,Josh Krehbiel,http://www.goldencobra.org/pdf/2020/Krehbiel_TheFuture_of_Sports.pdf,https://taquelli.itch.io/,"Larp, Streaming/Online Face to Face, sports","It is the future. Sports have evolved. No longer do our greatest athletes need to prove their might on the field with a full retinue of elite comrades. Now games can be decided from the comfort of our athlete's homes, available for everyone to see.","sports, goofy, contest",,
All We Have Is Us,Casey Lucas,http://www.goldencobra.org/pdf/2020/Lucas_ALL_WE_HAVE_IS_US.pdf,http://intothemire.com/portfolio/,"Freeform larp, Letter Writing, Streaming/Online Face to Face","All We Have Is Us is a game for 3-6 players and one facilitator inspired by classic heist and jailbreak stories. But rather than replaying the job itself, this experience is designed to inspire reflection on a simple question that doesn’t have a simple answer: if you knew the end was coming and you’d never see your friends again, what would you share? What would you confess?","Emotional, Streaming, Online, Secrets",,
Taller Than Space Is Wide,Alexa Kirchner,http://www.goldencobra.org/pdf/2020/Kirchner_TallerThanSpaceIsWide.pdf,https://akirchner.itch.io/,"Freeform larp, Letter Writing, Chat/Message",An epistolary time travel spreadsheet game,"time travel, epistolary, spreadsheet",,
Pictures in an Exhibition,Halden Ingwersen and Miles Lizak,http://www.goldencobra.org/pdf/2020/IngwersenLizak_Pictures-In-An-Exhibition.pdf,https://docs.google.com/document/d/1o5WCzw7IprSx8a73t5MK2_XPdu416RdTjgghxv4KUbA/edit?usp=sharing,"Freeform larp, Larp, Streaming/Online Face to Face, Video/Transmedia, Performance, Arts & Crafts, Set dressing / costuming","Using Zoom, players portray various works of art. For an hour each night, they come to life and confront the challenges of the world around them, from within the confines of their frames.","Video chat, art, silly or serious",,
The Bathhouse,Rei England,http://www.goldencobra.org/pdf/2020/England_TheBathhouse.pdf,,"Freeform larp, Larp, Streaming/Online Face to Face, Video/Transmedia, Bathing; Audio chat","This is a game about gods, queerness, the power of shared myths, and the intimacy of bathing together.
A group of old friends take a trip to a bathhouse together, to reminisce and share stories. In the intimate sanctuary of the bathhouse, as protective layers and long held feelings are stripped and encrusted dirt is washed away, who will they become? Will the gods awaken?
This is a 3 hr LARP for 4 or 6 players designed to be played online in the comfort and safety of your own home. Players take a bath together in the middle; this section is played as an audio only experience, allowing you to lean back and relax in your bath.","Bathing, Myths, Friendships",,
Speed dating without the dating,Rowan B,http://www.goldencobra.org/pdf/2020/B_SpeedDatingWithoutTheDating.pdf,,"Freeform larp, Larp","This is a game about the various relationships that people can have with each other - important, timeless, fleeting, casual - and the ways that these can defy traditional amatonormativity.

Or, in other words, this is a game about a speed dating event where none of the attendees are actually looking for dates.
",speed-dating; lightweight; comic,,
Queer and Together at the End of the World,gamesforsquids,http://www.goldencobra.org/pdf/2020/gamesforsquids_Queer_and_Together_at_the_End_of_the_World.pdf,,"Freeform larp, Larp, Streaming/Online Face to Face","Queer and Together at the End of the World is a 3-5 player digital LARP about queer friendship, radical hope, and fighting fear with connection. It is intended to be played over voice or video chat, and should take about 3 hours.","queer, freeform, apocalypse, friendship",,
The Glimpse,Karolina Soltys,http://www.goldencobra.org/pdf/2020/Soltys_TheGlimpse.pdf,,"Freeform larp, Larp, Chat/Message, Streaming/Online Face to Face","The Glimpse is a two hour long online larp for 6 players and a GM, played over Discord. It is a modern-day family drama with some elements of magical realism.

The players will be divided into two groups of three: copies of the same family in two parallel universes. The life paths of the mirrored characters diverged due to a tragic accident. 

The first act of the larp is realistic and the play is limited to the same universe. The second act introduces a surreal element: the computers of the characters undergo an upgrade to a new, quantum version of the operating system, which causes temporary glitches in video calls and gives the characters a brief opportunity to interact with their counterparts from the alternative universe.","family, identity, choices, connection",,
The Fortunate Ones,Ron T Blechner,http://www.goldencobra.org/pdf/2020/Blechner_TheFortunateOnes.pdf,,"Freeform larp, Larp, Chat/Message, Streaming/Online Face to Face","In 2066, AI and human scientists cracked the ability for humans to fully integrate their consciousness to Dotwun (what the Internet evolved into). Humans and fortunae experience differences in how they experience Dotwun, especially in sensory inputs. One player is a human, plugging in to Dotwun for the first time. The other is a fortuna, aiding the human in preparation for “transcending” to digital life in Dotwun.

This game will involve the player of the human to interact with, touch, and sense objects in their real life physical environment, and describe it in detail to the other player. Only the player of the human will have a camera turned on, that both players will look at. Players will communicate through audio. The player of the AI will give instructions to the human player how to interact with the environment, based on a checklist of items that only that AI player will know. Players are likely to succeed, but will face challenges as the two characters will have gaps in communication and differences in how they perceive and sense things.","Transhumanism, neurodiversity, sensory, communication, empathy",,
ACIS: Adventurer Caregivers In Support (of Adventurer Caregivers),Kate Hill,http://www.goldencobra.org/pdf/2020/Hill_ACISAdventurerCaregiversInSupport_ofAdventurerCaregivers.pdf,,"Freeform larp, Larp, Letter Writing, Streaming/Online Face to Face","
Intro: Being the parent or caregiver of an adventurer is stressful. Be they prophesied for greatness, runaway royals, or even following in the family’s footsteps, you never know when they will get injured, cursed, or resurrected as a dire boar. In this game, each player will both play a former character of theirs from a tabletop game and the caregiver of another adventurer. Scenes take place during an support group that is happening via magical viewing devices and are interspersed with letter writing about your former character’s adventures to their caregiver. Will you be able to learn to cope with your fears? Will you find the support you need? And how will your relationship with your ward change?","fantasy, family dynamics, support groups",,
Mis/Con/Nect,Jason Cox,http://www.goldencobra.org/pdf/2020/Cox_MisConNect.pdf,,"Freeform larp, Chat/Message","In this game, friends text each other to try and catch up at the crowded conference. Even though they miss connecting, they share their experiences and hopes for tomorrow.","Convention, Texting, Fandom",,
Dear Stranded: A Science Fiction Letter-Writing LARP,Elisa Ford,http://www.goldencobra.org/pdf/2020/Ford_DearStranded.pdf,https://drive.google.com/file/d/165-utROepPn9aBNRWEsqRdPxPTHt1WYQ/view?usp=sharing,Letter Writing,"Two stranded souls, alone and separated by a vast sea, send each other letters of comfort and confession with the help of a mysterious Helper. A science fiction letter-writing game.","Science Fiction, Letters, Confessions",,
The Confluence,Olivia Montoya,http://www.goldencobra.org/pdf/2020/Montoya_TheConfluence.pdf,http://metaparadox.itch.io/,"Freeform larp, Larp, Streaming/Online Face to Face",Lonely gods that have recently regained their memories of what they are meet at a confluence of worlds once every 100 years.,gods loneliness memory choices,,
"Face Front, True Believers!","Alexi Sargeant, Cloven Pine Games",http://www.goldencobra.org/pdf/2020/Sargeant_FaceFrontTrueBelievers.pdf,https://cloven-pine-games.itch.io/,Letter Writing,"An epistolary game about comics and fandom for 3–6 players. Players take on the role of a writer and a group of fans jockeying to put forward their interpretation of a comic book on the comic's letters page. For one reason or another, the writer has no idea what is in the book, and must rely on readers' questions and comments for clues.","Comics, Letters, Fandom, Authorship",,
Where the Journey Takes Us,Aaron Silverman,http://www.goldencobra.org/pdf/2020/Silverman_Where_the_JourneyTakesUs.pdf,,"Freeform larp, Pervasive Game/Public Play, Letter Writing, Arts & Crafts","You and your friends save the world by hiking, crafting, and completing a large ritual","Hiking, Crafting, Freeform",,
Voyagers: a larp duet,Margo Gray,http://www.goldencobra.org/pdf/2020/Gray_Voyagers-a_larp_duet.pdf,margogray.com,"Freeform larp, Larp, Chat/Message, Music-based","Voyagers is a long-distance larp for two that explores connection, the possibility of change, and the power of music. In 1977, NASA launched the Voyager satellites, each containing a golden record with audio greetings from the people of Earth, images of Earth life, and musical selections. These messages were sent in the hope that some traveller might find them. Said the recorded message from the Secretary General of the UN, “We step out of our solar system into the universe… to teach if we are called upon, to be taught if we are fortunate.” You are a scientist who has discovered a small, temporary hole between universes. You have a chance to make contact with a version of yourself from another universe, but the ways in which you can communicate are limited. Using questions and musical selections, you will communicate with your parallel self and try to derive some comfort or wisdom from another life lived.","parallel universes, music, connection",,
Awake at the Witching Hour,Eric Fritz,http://www.goldencobra.org/pdf/2020/Fritz_Awake_at_the_WitchingHour.pdf,https://twitter.com/CommonHeresy,"Freeform larp, Larp",A haunted LARP experience for one player. The game takes place over several nights as you play a character experiencing a haunting.,"Horror, Ghosts, Solo LARP",,
Dream Phone of Cthulhu,Caitlin Russell & Dustin Freeman,http://www.goldencobra.org/pdf/2020/RussellFreeman_DreamPhone_of_Cthulhu.pdf,"http://caitrussell.com/
https://escape-character.com/","Freeform larp, Larp, Chat/Message","In Dream Phone of Cthulhu, it’s the ‘20s, and there have been signs and portents that your group has drawn the attention, and admiration, of a deity from the Cthulhu Mythos. You are performing a seance to contact the alluring and terrifying gods beyond the veil, to find out which one is your Secret Admirer.","phone, seance, lovecraftian, period piece",,
Now Presenting...,Peter S. Svensson,http://www.goldencobra.org/pdf/2020/Svensson_NowPresenting.pdf,,"Freeform larp, Larp, Streaming/Online Face to Face, Video/Transmedia, Performance, Arts & Crafts","A troupe of performers do surreal, allegorical plays about the events unfolding around them: the plot of another larp.",Performance Meta Digital Surreal,,
Imaginary Problems,"Gilbert S, David Neubauer, and Ceridwen Anne",http://www.goldencobra.org/pdf/2020/SNeubauerAnne_ImaginaryProblems.pdf,unnamedgameco.com,"Freeform larp, Streaming/Online Face to Face, Arts & Crafts",A virtual support group for imaginary friends dealing with hard problems and finding imaginative solutions.,"Imaginative, Playful, Emotional",,
Let's You and Him Flyte,Abe Pressman,http://www.goldencobra.org/pdf/2020/Pressman_Lets_you_and_him_flyte.pdf,"I just created an itch.io! There's nothing on it yet
https://thunderbeard.itch.io/","Freeform larp, Larp, Streaming/Online Face to Face","The world is ending—on this, sources agree. If there is a tomorrow, whether or not you live to see it, it will need new heroes and gods. And so each of you has decided to propose how the world may yet be reborn…if you can convince anyone else.

Let's You and Him Flyte is a game of formalized arguments in the broad style of historical Anglo-Saxon poetry (err, that is, ""ritualized verbal combat""), as a group of survivors debates and competes to see who will save the world, and how.
","medieval, post-apocalyptic, argument, improv",,
The Fake Out,Dakota Sky Bloom,http://www.goldencobra.org/pdf/2020/Bloom_TheFakeOut.pdf,"Not sure if this is meant to be a link to the pdf of the game itself. In that case: 
https://drive.google.com/drive/folders/1RpgKYBL-5J5RWWZrJOuOmipMrJdw-p8C?usp=sharing

If it is meant to be a few things I've made, I only have a couple of things published right now, some small jam games. Most of my work has been as campaign larp staff or is in development.
https://dakotaskybloom.itch.io/kilmers-war
https://xthreatgames.itch.io/goblin-maids-by-elm-and-dsb","Freeform larp, Tabletop/Pencil & Paper, Journaling",A tool for dealing with the grief of losing someone you care about.,"Journaling, Playing Cards, Loss, Love",,
Exodiplomacy,Susanne Vejdemo & Marshall Bradshaw,http://www.goldencobra.org/pdf/2020/VejdemoBradshaw_Exodiplomacy.pdf,http://susanne.vejdemo.se/,"Freeform larp, Larp, Streaming/Online Face to Face, Edularp, Diplomacy Simulation","Alien diplomats representing each member civilization in the Interstellar Compact come together to debate Humanity’s application. Each diplomat has different priorities and a different way of communicating those priorities, using patterns of communication found in a variety of real world cultures.","Language, educational, diplomacy, sci-fi",,
The Long Rest,Dan O'Hanlon,http://www.goldencobra.org/pdf/2020/OHanlon_TheLongRest.pdf,,"Freeform larp, Larp, Streaming/Online Face to Face",A D&D LARP about the night before a climatic encounter.,"D&D, beginner-friendly, pre-generated chracters",,
The Viridians,Piotr Milewski,http://www.goldencobra.org/pdf/2020/Milewski_TheViridians.pdf,,"Freeform larp, Pervasive Game/Public Play, Letter Writing, Arts & Crafts","Epistolary freeform sci-fi larp about obligations, legacy and a concept of “home”.","Letters, Dreams, Aliens.",,
