Title,Designers,Styles of Play+key,link+url,Description,Tags+key,Designers Work+url
Do It for the Music,David Berg,"Tabletop Role Play; LARP is never mandatory, but will be present to taste",http://www.goldencobra.org/pdf/Do_It_For_The_Music.pdf,"As a member of a new improv-heavy jazz-rock band, can you achieve your personal musical vision, while helping your band cohere into a successful or even hot act? Get ready for band meetings, secret votes, and playing out performances using unique narrative techniques.","Comedy, Everyday Life, Relationships, Art, Teamwork, Quest",http://shrikedesign.com/
Don's Secret,Guilherme DR,"Mixed or Semi-live, Fiasco-like",http://www.goldencobra.org/pdf/donsecret_final.pdf,"Don has a secret, a terrible secret. By the end of this meeting the secret will change everything, that is, unless you do something about it. You all had a week to prepare, was it enough? A game about defining characters while overcoming challenges in less than an hour.","Serious, Comedy, Relationships, Mafia",http://guilhermedr.carbonmade.com/
Dream Bear,Emily Care Boss,Live-action Role Play,http://www.goldencobra.org/pdf/DreamBear_ecb.pdf,"A group of people come together to talk about and play out their dreams. Each person in the group is having recurrent dreams that involve a bear. Play this brief, live-action, freeform game in two hours or less. For three to six players.","Everyday Life, Surreal, Metaphysical",http://blackgreengames.com/
Futures/Past,Will Emigh,"Live-action Role Play, Tabletop Role Play",http://www.goldencobra.org/pdf/Futures_Past.pdf,"A brief sci-fi game about a crew trying to stop an assassination while slowly regaining their memories. Gameplay is fast and story-based, shifting between the present (peace negotiations) and the past (memories). ","Serious, Comedy, Amnesia, Science Fiction, Relationships",http://www.studiocypher.com/
Gabardine,Jonathan G. Cook,"Mixed or Semi-live, Pervasive",http://www.goldencobra.org/pdf/Gabardine.pdf,"A brief sci-fi game about a crew trying to stop an assassination while slowly regaining their memories. Gameplay is fast and story-based, shifting between the present (peace negotiations) and the past (memories). ","Serious, Comedy, Everyday Life, Relationships, Many things (potentially)",
Glitch Iteration,Jackson Tegu,"Live-action Role Play, Mixed or Semi-live, Pervasive, Board game",http://www.goldencobra.org/pdf/Glitch%20Iteration%20-%20Golden%20Cobra%20Collection%20Winter%202014%20-%20Jackson%20Tegu.pdf,"Every player portrays iterations of someone named Uri, incorrectly loaded into an artificial world: a ""Reallike"" of the historical period 2014 or thereabouts. The game features cards describing shards of Uri's memory or questions to pursue, and also features concern about whether or not you, personally, are the real Uri - or if you're a glitch - or if you're a virus. ","Amnesia, Science-Fiction, Non-narrative, Surreal, Metaphysical",http://www.photographsoflightning.com/
Group Date,Sara Williamson,Live Action Role Play,http://www.goldencobra.org/pdf/Group%20Date%20-%20Anthology%20Edition.pdf,"Group Date is a game about disparate (and, at times, discordant) personalities looking for love. A quick personality quiz sorts the players into teams, who then play out a series of three short dates--with a twist. Group Date is meant to be a quick, accessible and lighthearted freeform larp. ","Comedy, Dating, Everyday life, Relationships",
Hard Days,Johnny Garcia,Live Action Role Play,http://www.goldencobra.org/pdf/Hard%20Days%20-%20Final.pdf,A group-created eulogy for a made-up person that results in a tangible artifact to represent that person. ,"Serious, Survival, Zombies",http://jonnyggarcia.wordpress.com/
HERE LIES___________,Tracy Barnett,Mixed or Semi-live,http://www.goldencobra.org/pdf/HERE%20LIES%20__________.pdf,HERE LIES _________ is a collaborative eulogy building game that will result in the creation of a permanent artifact honoring the departed.,"Serious, Ritual",
Hibernation Agents,Orion Canning,Tabletop Role Play,http://www.goldencobra.org/pdf/hibernation_agents/,"Hibernation Agents is a game for 3 to 6 players about capable agents awakening after hundreds of years into a strange world. Inspired by the comic series Prophet, it tells cinematic sci-fi stories of not quite heroes navigating surreal alien landscapes with only their instincts and wit to guide them. ","Serious, Amnesia, Science-Fiction, Survival, Military/Warfare, Espionage, Relationships, Surreal","https://www.youtube.com/user/hoodoo2060/,  http://orioncanning.blogspot.com/"
If I Were President,James Stuart,Live-action Role Play,http://www.goldencobra.org/pdf/If%20I%20Were%20President%20-%2022XX%20Hyper%20Edition%20(James%20Stuart).pdf,"The year is 20XX. The presidential debate is at hand: do you support rights for sentient toasters? How about time travel research in order to save endangered species? Play presidential candidates, media handlers, and just hard-working citizens deciding whether to blow up the moon to stimulate the economy.","Comedy, Science-Fiction, Surreal",
Imagine,Rickard Elimää,Vignette Play,http://www.goldencobra.org/pdf/imagine_RickardElimaa.pdf,Are you a person who daydreams about what other people are like? Imagine giving them depth by creating their memories and desires. Imagine how that will shape their journeys through life. Just ... Imagine.,"Everyday life, Relationships, Non-conflict based collaboration",http://www.urverkspel.com/vara-spel/oevriga-projekt
Interstellar Diplomacy,Nick Wedig,"Live-action Role Play, Tabletop Role Play, Mixed or Semi-live",http://www.goldencobra.org/pdf/interstellar_diplomacy/,"You have one hour to negotiate a peace treaty before the assembled alien armadas go to war, killing you and everyone else on this backwater little planet called Earth. ",Science Fiction,http://nickwedig.libraryofhighmoon.com/2014/10/interstellar-diplomacy/
Jerky Jousters,Scott Slomiany,Tabletop Role Play,http://www.goldencobra.org/pdf/JerkyJousters_GoldenCobra.pdf,"The king has decided to celebrate the realm’s 100th birthday by having a grand tournament, and the call has gone out throughout the land for all of the greatest and powerful knights to come and joust for wealth and fame! HUZZAH! What he wound up with was a bunch of jerks.",Comedy,
Keymaster,J. Li,"Live-action Role Play, Pervasive (intermixed with activity by non-participants), Stylized Play",http://www.goldencobra.org/pdf/keymaster.pdf,a short ritual of dramatic identity,"Serious, Fantasy, Non-narrative, Myth, Ritual, Environment-Inspired",http://bit.ly/1gEj0Ke
Lifechanging,The Kipferl Collective,Live-action Role Play,,"You've lived a successful life, but now you wonder whether it was the right one. So you registered for Lifechanging, a service which lets people swap lives. Talk to others. Think whether their life is better. Finally, decide whether to keep the life you have or become someone new. ","Science Fiction, Everyday Life",
Magicians of the Cool,BeePeeGee,"Pervasive, Free-form semi-LARP",http://www.goldencobra.org/pdf/GoldenCobra_MagiciansOfTheCool_BeePeeGee.pdf,"Players perform ""magical"" gestures based on four elements: Fire, Air, Water, Earth. Defeat evil princess Preiaya to save dear friend Donzo the dragon. This is a free-form, semi-LARP game. Have fun watching i.e magicians of the ""School of Voluptuous Eruptions"" perform fire magic, demonstrating gestures of sexual prowess! ","Comedy, Linear Story, Fantasy, Ritual, Magic",
One Night Out,Michael Meinberg,Live-action Role Play,http://www.goldencobra.org/pdf/One%20Night%20Out.pdf,"One Night Out is a game of dramatic improv, using playing cards as a mechanic for character development and interaction, and focused on real people in real circumstances.","Serious, Everyday life, Relationships",
Patchwork,Christian Griffen,Live-action Role Play,http://www.goldencobra.org/pdf/Patchwork_10-2014.pdf,"Patchwork is a game about siblinghood, played in scenes of light and heavy events in a family's life. The game includes warm ups and physical safety markers to promote a safe space in which players can open up and play with honesty and vulnerability.","Serious, Everyday life, Relationships",
a quiet place in hell,Evan Torner,Mixed or Semi-live,http://www.goldencobra.org/pdf/quiet%20place%20in%20hell%20-%20Golden%20Cobra.pdf,The bad news? You've died and gone to Hell. The good news? You get to buy yourself some peace & quiet from the torment. But not all places are created equal. 3 to 9 players tour – and attempt to buy – houses in the afterlife. Dark humor. ,"Comedy, Linear Story, Everyday Life, Surreal, Metaphysical ",
Restart,Steve Segedy,Live Action,http://www.goldencobra.org/pdf/RESTART.pdf,"In a massive electronic waste heap in Ghana, sentient robots struggle to survive and understand their new lives. RESTART is a live-action role-playing game about these robots, designed to be played in 2 hours by 3-9 players in an open space. Everyone will take on the role of a machine or a human, with a few players acting as facilitators as well. ","Serious, Science Fiction, Survival",http://www.bullypulpitgames.com/
Restless,J. Walton,Tabletop Role Play,http://www.goldencobra.org/pdf/restless/,"Restless is a game for 3-8 players about a group of survivors being hunted through the abandoned ruins of the world by a monstrous, unyielding horde.",Horror,http://corvidsun.com/
Rose Tattoo,Kamil Bartczak and Laura Jankowska,Pervasive,,"Rose Tattoo is a story-focused scenario about non-conformist characters who are suffering consequences of their live choices. Players are creating their stories, with its rises and falls, which led to the current situation. In each case, the character's story will also consist of some personal, important thing that keeps him on course, represented by his tattoo – an anchor (important thing in life) or a rose (true love).","Serious, Everyday Life, Relationships",http://www.argos.edu.pl/pl/portfolio/180-rose-tattoo
RPCV,Jason Morningstar,Live-action Role Play,http://www.goldencobra.org/pdf/rpcv_morningstar.pdf,"PRCV is a game about volunteers returning from 18 months of aid work in Burkina Faso. They wait in an airport departure lounge to be separated, maybe forever, and still have some in-country business to resolve. Some very terrible business they can't leave entirely behind.","Serious, Linear Story, Everyday Life, Relationships, Horror",http://www.bullypulpitgames.com/
"""Snow""","Agata ""Świstak"" Lubańska","Live-action Role Play, Pervasive, nanolarp",http://www.goldencobra.org/pdf/Snow-web-ready.pdf,"The engine coughed roughly and finally stopped. It took you a moment to realise you were stuck in the cold of the tundra, hours away from any civilisation. And the snow just doesn’t seem to help… ""Snow"" is a minimalistic experiment, a try to let players lead the action, with a very limited intrusion of the GM. Cars and intense feeling included.","Serious, Everyday Life, Relationships, Horror",
Still Life,"Wendy Gorman, David Hertz and Heather Silsbee",Live-action Role Play,http://www.goldencobra.org/pdf/Still%20Life.pdf,This is a game about relationships and their inherent instability due to forces beyond our control. Also rocks.,"Non-narrative, Relationships, Metaphysical, Geological",
There's a Fan Fic for That...,Kat Jones,"Live-action Role Play, Mixed or Semi-live",http://www.goldencobra.org/pdf/Fan%20Fic.pdf,"There's a Fan Fic for That... is a game about creating live action “fan fiction” stories. Set in alternate universes and crossing multiple canons the stories can be funny, romantic, or full of angst. Remain “in character” as your Characters are put into strange or ridiculous situations. Give feedback to the Author in your role as a Reader.","Comedy, Relationships ",
Top Secret Admirer,Daniel Eison and Sam Zeitlin,Live-action Role Play,,Top Secret Admirer is a [redacted] freeform game about seeking love and intrigue in the intelligence community. When your date has a security clearance—and maybe ulterior motives—they might be sizing you up as well as checking you out. Will you betray your loyalties? Or will your heart betray you first?,"Dating, Espionage, Everyday Life, Relationships",
Trapped!,Juan Manuel Avila,Mixed or Semi-live,http://www.goldencobra.org/pdf/trapped/,"It is a game about the deprivation of liberty. You and some friends will represent characters that cannot leave a place. You may imagine yourself locked up for some reason in the space you are now occupying, or think of other funny or dramatic situations. ","Serious, Comedy, Linear Story, Relationships",http://runicapublishing.blogspot.com.ar/
Troupe,Jason Cox,"Live-action Role Play, Mixed or Semi-live, Semi-pervasive",http://www.goldencobra.org/pdf/Troupe.pdf,"Troupe explores the nature of collaboration, both in terms of what we are capable of producing and of the ways in which we mask or shape or identities to do so. Players take on the role of members in a performing troupe and acts alternate between ""on stage"" presentations for an audience and ""off stage"" encounters that put members in conflict with one another.","Serious, Linear Story, Everyday Life, Relationships ",
Unheroes,Joanna Piancastelli,"Live-action Role Play, Pervasive",http://www.goldencobra.org/pdf/Unheroes%20v0.2.pdf,"You were superheroes who screwed up big time, though you don’t remember it. No one does. Reality was altered and the history that you used to know no longer exists, and never did. Now it’s trying to reassert itself. Will you leave the world like this, or change things back?","Serious, Linear story, Amnesia, Superheroes, Relationships",http://neruleandesigns.com/games/unheroes
[Your Game Here] by [Your Name Here],Mike Young,Live Action Role Play,,"In a city where people ______________, _________________ have taken over. Can you ______________ the _______________ before it is too _______________? In [Your Game Here] by [Your Name Here], players create the salient details of the scenario in a Mad-Libs style fashion before runtime. This is a theater-style 2-hour larp. ","Comedy, Surreal",http://www.intink.com/larps
