Title,link+url,Designers,Designers work+url,Description,Tags+key,Styles of Play+key
Kurayami Box,https://www.goldencobra.org/pdf/2021/Inamuri--KurayamiBox.pdf,Nomachi Inemuri,https://gem-quart-44c.notion.site/Kurayami-Box-0f9c41cfba0f4ee0be3b8b733b24110b,プレイヤー自身と自分の中に入り込んだキャラクターをルーチンとウォーキングで5日間グラウンディング（精神的・身体的バランスを取ること）＆ダイエット（目標-1kg）する日々の日記をつけていく1人用ジャーナリングLARP。,ジャーナリング、ダイエット、LARP、グラウンディングソロプレイ、,"Larp, Solo Play"
Longevity™,https://www.goldencobra.org/pdf/2021/Wood--LongevityTM.pdf,Laura Wood,,"Longevity™ is set in the near future. An exciting new drug has been developed. It slows the rate of aging so significantly, essentially giving those who receive the injection 100 extra years at their current age, after which it will wear off and they will age at a normal rate. A charity initiative has recently been launched. 50 pairs of ‘deserving ordinary people’ will have the opportunity to take the drug. 20,000 pairs of people have applied. ","Interview, relationship, pretence","Freeform larp, Larp, Committee Larp, Streaming/Online Face to Face"
Melt Me × メロメロ,https://www.goldencobra.org/pdf/2021/IwataandBisogno--MeltMe%e3%83%a1%e3%83%ad%e3%83%a1%e3%83%ad.pdf,Naohisa Iwata and Ben Bisogno | 美園勉・直久岩田,https://kyotoben.itch.io/,"A Deliciously Queer Ice Cream Larp About Identity and Cumming Together
18+ | 2 to 6 Players | 20 Minutes to 1 Hour
During the game we exploring gay identities through sensual encounters with ice cream. 
We play men, including transmen, getting intimate in a gay bathhouse’s darkroom in Nakazakicho, Osaka. We get intimate with each other through eating ice cream! By the climax of the game we discover how we will finish: Will we lick our cups clean? Will we save some for later? Or, will we smother the creamy goodness all over our faces? 
アイスクリームを食べつつ、お互いにアイデンティティを見出すゲイのゲーム
18才以上｜人数： ２人から６人｜所要時間：２０分から１時間
発展場の場面で、プレイヤーは自分(のキャラクター)とは何者なのか、を、アイスクリーム × エロチックな出会いの中で見出していく、同性愛を舞台としたゲームです。
","Ice-Cream, Sensuality, Big Gay Energy","Freeform larp, Committee Larp, Streaming/Online Face to Face, Play with Food"
Mortal Affairs Review Board,https://www.goldencobra.org/pdf/2021/Feldstein--MortalAffairsReviewBoard.pdf,Chance J. Feldstein,www.alchemicalgaming.com/games,"Mount Olympus, Summer Solstice, high noon. It’s time for this decade’s meeting of the board in charge of Earthly business. As expected, some gods and goddesses have shown up, and most had more important things to do. Athena is determined to accomplish more than usual with her limited time. Will the other deities help? Will they cause trouble? Probably both. Gods can be self-centered and capricious. Each considers their favorite things the most important in the universe. Herding these cats is a tough job, but Athena enjoys the challenge. Mostly.
(Inspired by ""Association for the Advancement of Fairy Tale Creatures (AFC)"" and ""Are You There God? It’s Me, The Quarterly Earnings Report"", with profuse thanks; and my own game ""Whose Deity Is It Anyway?"")","committee, gods, paganism, Hellenism","Freeform larp, Larp, Committee Larp, Chat/Message, Streaming/Online Face to Face, Spirit Invocation, Ritual Theater"
No Sex In The Holodeck,https://www.goldencobra.org/pdf/2021/Blechner--No_Sex_In_The_Holodeck.pdf,Ron T Blechner,,"Welcome to the late 24th century, junior officers! You have the honor of serving SpaceFleet of the Worlds United in Friendship (WUF) aboard a Cosmos-Class starship! Today is a day you’ve been waiting months for. You’ve reserved 90 minutes in one of the ship’s 6 holodecks, where crew members go while off-duty to kick back and relax, entertain themselves in fantasy, all in a private, confidential setting.
Today’s also special because you’re planning to run a very special, personal, intimate program. You’ve been working hard and have had little chance to relax and let loose. Unfortunately, when you arrive, you find that all but one of the holodecks is utterly non-functional. Worse, you find you’re not the only one in this situation. Several other junior officers have shown up for the same time slot, and they all seem to have similarly been waiting several months for this. And similarly irritated at this large inconvenience.","sci-fi, absurdist, lighthearted, sex-positive","Freeform larp, Larp, Committee Larp, Streaming/Online Face to Face, Performance"
One Giant Leap,https://www.goldencobra.org/pdf/2021/Miessler-Kubanek--OneGiantLeap.pdf,David Miessler-Kubanek,https://docs.google.com/document/d/1SgoXsK2Yq1HRhx31dPQNbCA8l74hM1eQ9Ob1cipb64k/edit?usp=sharing for this entry and https://aquavertigo.com/ for other game ideas.,Survivors of a crash landing on the moon must decide what they should do now for the good of tardigrade-kind. (Inspired by real-life events.),cozy space survival,"Freeform larp, Streaming/Online Face to Face is optional."
Personal Testimony from the Last Kings of Heaven,https://www.goldencobra.org/pdf/2021/Walton-PersonalTestimonyoftheLastKingsOfHeaven.pdf,J. Walton,http://jwalton.media,"The last remaining leaders of the Taiping Rebellion have been captured. Now, you must interrogate them and determine how to record & share their stories before they are painfully executed.","historical, interrogation, rebellion, treason","Freeform larp, Larp, Committee Larp, Tabletop/Pencil & Paper, Streaming/Online Face to Face"
Pilgrimage to the Center of the Earth,https://www.goldencobra.org/pdf/2021/Maxfield--PilgrimagetotheCenteroftheEarth.pdf,Rebecca Maxfield,,"Freeform remote LARP where players play dwarves in a fantasy setting who live on the surface among non-dwarves and are making a pilgrimage to a religious site in the underground dwarven realms. Shared rituals, including ones with physical components, for characters with a diversity of backgrounds/experiences within a minority culture.","freeform, religion, community, journey","Freeform larp, Streaming/Online Face to Face"
Sobre a arte de bem governar terras e povos,https://www.goldencobra.org/pdf/2021/Vasques--Sobreaartedebemgovernarterrasepovos.pdf,Rafael Carneiro Vasques,"https://www.hybrisrpg.com/, https://raca.itch.io/
https://raca.itch.io/","O larp aborda as escolhas e consequências sociais, econômicas e políticas das ações adotadas por uma país colonial em sua política interna e externa. O foco do jogo são as ações e consequências sobre o que chamamos de ","Política, Colonização, Controle social.","Larp, Committee Larp, Tabletop/Pencil & Paper, Chat/Message, Streaming/Online Face to Face"
Speak Through Me,https://www.goldencobra.org/pdf/2021/gamesforsquids--SpeakThroughMe.pdf,gamesforsquids,https://gamesforsquids.itch.io/,"Speak Through Me is a two-hour freeform LARP about mediated spirit possession.  It explores power imbalances and hierarchies, communication, and the act of (mis/re)interpretation.  One player plays The Medium and The Spirit who has possessed them, while the other plays The Mediator who has come to interpret the utterances of The Spirit.  The Medium, Spirit, and Mediator must work together to solve the problem and reach a satisfying conclusion for all parties.","religion, spirit possession, communication, interpretation","Freeform larp, Larp, Streaming/Online Face to Face, Pedagogical Larp"
Stitchcraft,https://www.goldencobra.org/pdf/2021/Stong--Stitchcraft.pdf,Liz Stong,https://feelings-wave.itch.io/,"You belong to a coven of stitchcrafters: those who can manipulate the warp and weft of reality to bring their fabric-based visions to life! After all, what is a sewing needle but a wand that demands the occasional blood sacrifice?! 
Stitchcrafters are extremely well-regarded by the magical community. On the other hand, your coven is known for being “avant-garde,” “tacky,” and on more than one occasion, “talentless hacks who lack a cohesive vision.” Still, you’re not going to let the haters get you down. Thanks to a missent invite, your coven has been commissioned to design an outfit for the famously fashionable Ash Winters, the organizer for the Threat Gala. If you want to get everything done on time and make a splash at the ball, you'll have to work together. Here's hoping no egos get in the way.... ","Paper dolls, witchcraft, art","Freeform larp, Larp, Committee Larp, Tabletop/Pencil & Paper, Streaming/Online Face to Face, Video/Transmedia, Arts & Crafts"
TANKERS - an isolation game,https://www.goldencobra.org/pdf/2021/Cook--TANKERS.pdf,Sarah Cook,,"The game is about exploring the emotionally fraught relationships of characters fighting a
terrible war in the far future, deep in space. ","isolation, war, disability, personal horror","Larp, Committee Larp, Video/Transmedia, Voice only"
The Bronze Viper Award Committee,https://www.goldencobra.org/pdf/2021/Svensson--TheBronzeViperAwardCommittee.pdf,Peter S. Svensson,https://peterssvensson.com/gaming/,"You are one of the intelligent, creative, and witty members of the committee judging a prestigious contest for live action roleplaying games - The Bronze Viper Awards. It’s time to hold a video conference and judge this year’s entries. If only you had actually gotten around to reading any of them. No one will notice, right?",meta committee comedy drama,"Freeform larp, Larp, Committee Larp, Streaming/Online Face to Face"
the god that lives where the cigarette butts grow,https://www.goldencobra.org/pdf/2021/Bloom--thegodthatliveswherethecigarettebuttsgrow.pdf,Zoe Bloom,,"You are a bunch of regular kids with astoundingly bad luck, which you blame on the god who lives out back in the woods, a few skips past the crick and on the other side of the crow’s nest. You know. Where the cigarette butts grow. ","backwoods, small gods, mini-games, betting","Freeform larp, Larp, Committee Larp, Chat/Message, Streaming/Online Face to Face"
The Good Samaritan,https://www.goldencobra.org/pdf/2021/Felton--TheGoodSamaritan.pdf,Acata Felton,https://larpingkitty.wordpress.com/,"A pervasive game about individual morality. Take an eight (8) day, or 8 week, journey into the world of someone not so unlike yourself. You will use a catholic interpretation of The Beatitudes as a springboard to experience the formation of a personal morality through emergent play.","Morality, Catholicism, Journal-LARP","Freeform larp, Pervasive Game/Public Play, Streaming/Online Face to Face, Solo Play"
The Hench Union LARP,https://www.goldencobra.org/pdf/2021/Dunnewold--TheHenchUnionLARP.pdf,Sam Dunnewold,sdunnewold.itch.io,"Twelve days ago, the henchfolk of renowned supervillain Professor Von Doctor voted to unionize. PVD threatened to fire everyone if they tried, so they stole one of his doomsday devices and demanded a contract negotiation. Today’s the day. Time to bargain.","unionization, hench, supervillain","Freeform larp, Larp, Committee Larp, Chat/Message, Streaming/Online Face to Face"
The Regency Committee on Decorum and Punchbowl Poop Prevention,https://www.goldencobra.org/pdf/2021/Robinson--Punchbowl_Poop_Prevention_LARP.pdf,Tasha Robinson,https://fluckadrift.itch.io/,"Members of a self-selected social Committee in Regency England must meet to resolve the problems plaguing their party set — including the shocking public impropriety they cannot bring themselves to speak of. A conversational committee game for 4-6 players, with an absurd edge, a ridiculous central problem, and a real attempt to lightly model how social groups avoid difficult topics, especially if they concern privileged classes or embarrassing issues.","regency, debate, humor, society","Freeform larp, Larp, Committee Larp, Tabletop/Pencil & Paper, Streaming/Online Face to Face"
We Consign Them To The Deep,https://www.goldencobra.org/pdf/2021/Dixon%20--%20WeConsignThemtotheDeep.pdf,Hazel Anneke Dixon,,"We Consign Them To The Deep is a freeform larp about mermaids, bound together by the ocean, dooming sailors to the deep. It is for 2-6 players and played over 2-3 hours. The players are mermaids, trapped between two worlds who are gathered to perform a ritual to decide which of several despicable ships they will choose to sink to the depths. ","mermaids, dark, online larp","Freeform larp, Larp, Committee Larp, Streaming/Online Face to Face, Video/Transmedia"
What To Do About Earth: a Committee LARP,https://www.goldencobra.org/pdf/2021/Michaelson--WhattoDoAboutEarth.pdf,Matt Michaelson,https://docs.google.com/document/d/1FGlcHPwazvZRMfUdNDnjObKJyRniMJqbrKT2GIfzUhs/edit?usp=sharing,"Fast, self-contained, remote-playable, freeform LARP with no prep needed -- Earth is about to explode and you're on the Committee to Decide What to Do About Earth, and you've only got a few minutes to argue about everything that entails!","sci-fi, humor, open-ended","Freeform larp, Committee Larp, Streaming/Online Face to Face"
Who We Are,https://www.goldencobra.org/pdf/2021/Gotschall-WhoWeAre.pdf,John Gotschall,https://docs.google.com/document/d/1PaXky46qA0GNR87LdP7hQA5OiSZBav22kP9ZVMLcD10/edit?usp=sharing,A game in which spirits try to develop personalities sophisticated enough to be incorporated into the universe. ,"Spiritual, Personality, Induction","Freeform larp, Chat/Message"
"You, Meme and the Team",https://www.goldencobra.org/pdf/2021/SinoirandVimalduMonteil--YouMemandtheTeam.pdf,Juliette Sinoir & Romain 'Emrys' Vimal du Monteil,,"Sometimes all that gets you through a project is sharing memes netspeak with coworkers. But no-one ever thinks to collate all those memes, music and GIFS. That's what this game is about.","Chat, Media, Project Management","Freeform larp, Larp, Committee Larp, Chat/Message, Streaming/Online Face to Face, File-sharing"
『誰か故郷を思わざる』,https://www.goldencobra.org/pdf/2021/Hashimoto--IDontThinkofSomeonesHometown_%20%e5%9b%b3%e6%9b%b8%e9%a4%a8LARP%e3%80%8e%e8%aa%b0%e3%81%8b%e6%95%85%e9%83%b7%e3%82%92%e6%80%9d%e3%82%8f%e3%81%96%e3%82%8b%e3%80%8f.pdf,Michita Hashimoto,https://docs.google.com/document/d/1v_ZyjHcMxTHTnxLW3kf_ujoPkXwmk9rKOTqwGjP6uXA/edit,本の力を使う特別な司書となって、記憶を失った霊が記憶を取り戻す手助けをするゲーム,"book,library,reference service","Freeform larp, Larp, Committee Larp, Pervasive Game/Public Play, Streaming/Online Face to Face, book.liblary,reference service"
