Title,Designers,Designers Work+url,Description,Tags+key,Styles of Play+key,link+url,Special Thanks to
Egg-Eating Rabbits,Tim Hutchings,https://timhutchings.itch.io,"A game of wheedling, surprises, and dexterity.  5-10 minute rounds for any number of players.  Be egg-eating rabbits trying to convince a bird to let you eat its egg.  ","play, animals, physical",Freeform larp,http://www.goldencobra.org/pdf/2018/Hutchings%20-%20Egg-Eating%20Rabbits.pdf,
Friends and Memories,José P. Zagal,"https://eng.utah.edu/~zagal/
https://scholar.google.com/citations?user=a4a3GTMAAAAJ&hl=en","In this short-form larp you play a group of elderly lifelong friends that have known each other for as far as you can all remember. As players, you will collaboratively establish who your characters are and come up with some of the life experiences you have shared together over the last 60-70 years.  You will play a series of scenes during which you all reminisce on some shared event from your past. Happy memories, for the most part. Towards the end, you will each forget each other until â€“ as the larp closes â€“ you all sit in the company of strangers. Content, but surrounded by strangers nonetheless.
","ageing, alzheimer's, reminiscing, friendship",Freeform larp;Larp,http://www.goldencobra.org/pdf/2018/Zagal%20--%20Friends%20and%20Memories.pdf,
Gimme Shelter,"Rebecca Wigandt, Jeff Dieterle",,"Nobody in this survival bunker knows for sure whether a disaster has actually occurred, but the prepper in your midst seems to have a contingency plan for everything. All we can do is hope they know what they're talking about, the food holds out, and there's a world to go back to...","Bunker, survival, apocalyptic",Freeform larp;Larp,http://www.goldencobra.org/pdf/2018/Wigandt%20and%20Dieterle%20--%20Gimme%20Shelter.pdf,
Got Your Number...?,Chance J. Kallisti,http://alchemicalgaming.com/games/,"In this game, players create a society of numbers and form friendships, rivalries, and romantic relationships. Each player makes a mask to represent their number, and determines personality traits based on that number's symbolism. Numerical society also has fictionalized prejudices: Even numbers are well-liked and respected; Odds are eccentric and erratic; Irrationals are unpredictable and can't control their emotions; Negatives are dangerous criminals. Imaginary numbers are in play, but other numbers think they don't exist.","numbers, society, polyamory, stereotypes",Freeform larp;Larp,http://www.goldencobra.org/pdf/2018/Kallisti%20--%20Got%20Your%20Number.pdf,
"Grief, Illinois",Ron T Blechner,,"GRIEF, ILLINOIS is a serious-tone game about a town where everyone knows each other, tragedies strike, and players collectively deal with the Anger, Guilt, and Compassion that comes with them. Players will create basic characters, form relationships between characters, deal with the Anger and Guilt that come from tragic events, get older, and do it all again. ","freeform, grief, tragedy, compassion",Freeform larp,http://www.goldencobra.org/pdf/2018/Blechner%20--%20Grief_Illinois.pdf,
Groundhog's Dream,Andrew Sirkin,https://dexposure.com/home.html,"You're all dreaming variations on the same dream. But it keeps changing location, and it keeps changing perspective. You can change how it ends. But you won't escape until everyone gets everything right.
Every round, each player plays a different character, with different goals. They will be trying to complete their own goals each round, and simultaneously using the Metagame knowledge they gained from playing other characters in previous rounds to help other players complete their goals.","dreaming, metagaming, perspective, cooperative",Freeform larp;Larp,http://www.goldencobra.org/pdf/2018/Sirkin%20-%20Groundhogs%20Dream.pdf,
Heroic Measures,Daniel Eison and Sam Zeitlin,,"Krondar the Mighty is dying, and this time it looks like it's going to stick. ""Heroic Measures"" is a freeform scenario about medical decision-making at the end of life for fantasy heroes, based on the actual principles and practice of palliative care. An adventuring party must come together to share memories and help choose the magical care that will best help their companion die with dignity. This scenario lets participants explore the very real challenges of judgment and consensus around the care of someone unable to voice their own choices, couched in the familiar tropes of fantasy adventure, and maybe think more about their own wishes, worries, and plans for their loved ones and themselves.","medical, fantasy, serious, end-of-life, decision-making",Freeform larp,http://www.goldencobra.org/pdf/2018/Eison%20and%20Zeitlin%20--%20Heroic%20Measures.pdf,
How We Played...,Team Game Studies and Engineering,No link available yet,"How We Played is a game about three things we hold dearly: The times we spent playing games, the people we enjoyed them with, and the shared bond of memories we created together.

It is not recommended for people currently in distress over loss.","Meta-Game, Emotional, Game Design, Coping",Freeform larp;Tabletop;Letter Writing;Rule Creation,http://www.goldencobra.org/pdf/2018/Team%20Game%20Studies%20and%20Engineering%20--%20How%20We%20Played.pdf,
It Was a Beautiful Mistake,David Rothfeder,,A larp for four to twenty players about a burnt out teacher trying to reconcile their career.,"Teacher, Regret, Introspection, Time",Freeform larp;Larp,http://www.goldencobra.org/pdf/2018/Rothfeder%20--%20It%20was%20a%20Beautiful%20Mistake.pdf,
Jump,Abigail Robin,,"Jump is a LARP about a group of individuals contemplating suicide. It is intended to bring players deeply into the mental and emotional world of people driven to the brink of death by despair, and to explore if and how it is possible to save ourselves and others.","suicide, flashback, trauma, hope",Freeform larp;Larp,http://www.goldencobra.org/pdf/2018/Robin%20--%20Jump%20LARP.pdf,
Leave or Stay,"Francesco Zani, Beatrice Sgaravatto, Francesco Rugerfred Sedda","tinyletter.com/BRUTALE, www.minimedifferenze.com, www.rugerfred.com","Leave or Stay is a quiet reflection on melancholy, change, nostalgia and the sense of estrangement linked to one's hometown. Players take the role of people from the same town or city: some of these people left a while ago but are now back, some of them never left. During the game you will have a series of conversations with the other players dealing with how each of you perceives the town and your role in it now that it's changed.","town, nostalgia, home, memories",Freeform larp,"http://www.goldencobra.org/pdf/2018/Sedda,%20Sgaravatto,%20Zani%20--%20Leave%20or%20Stay.pdf",
Libermon: The friendly monster dating simulator,Orion Canning,https://www.youtube.com/playlist?list=PLTOPTuq84czkP0i4-TIvwnY_chHtlRR_b,"After the invention of universal Portamon translators, humans recognized the sentience of these species. Portaballs and Portamon enslavement is outlawed, and now their name has been changed to Libermon. For those who still want to be Libermon trainers, the only way to convince them to join your team is to build trust based on mutual respect, informed consent, and shared interests. If you want to catch em all, you're going to have to go on a lot of dates.","Pokemon, romance, silly",Freeform larp;Larp,http://www.goldencobra.org/pdf/2018/Canning-Libermon.pdf,
Life Lessons,Mo Holkar,https://www.holkar.net/,"Drawing a live human model can sometimes reveal more about you than it does about the subject. In Life Lessons, you will play a student at a weekly life-drawing class, across a series of six lessons. The process of drawing will open up your characters â€“ to themselves, and to each other â€“ and they will share and bond. [Important note: you don't have to be able to draw, or even to be interested in drawing, to take part. Drawing is just a mechanism for approaching the exploration of your character: what you draw during the larp will not be seen by anyone other than yourself, unless you wish it to.]","Drawing, community, self-exploration",Freeform larp;Larp,http://www.goldencobra.org/pdf/2018/Holkar%20-%20Life%20Lessons.pdf,
Love In the Age of Sore-Cery,Warren Morrison and Ben Walker,www.DamoclesGames.com,A look at consequences of magical fairytale romance. An STI support group in a magical kingdom.,#adult #storytelling lighthearted,Freeform larp;Larp,http://www.goldencobra.org/pdf/2018/Walker%20and%20Morrison%20--%20Love%20in%20the%20Age%20of%20Sore-cery.pdf,
Lowell: A Game of Resistance,Michael Malecki,"https://www.facebook.com/groups/bsgrisingstar/
https://www.facebook.com/Eleventh-Hour-Productions-1485550028392331/","Lowell is a LARP designed to be used by both game runners and in the educational setting to teach the struggles of the Lowell Mill girls of the 1830s. In this game, your group will take the position of a worker an hour from the time that management will be docking your pay. What grievances will you bring to management? What slogans or information will you produce to have the world come to your side before management makes their announcement? 

Possible conflicts: Workplace Harassment, Dangerous Workplace Conditions, Suicide","Resistance, Labor, Strike, Communalism",Larp;Educational,http://www.goldencobra.org/pdf/2018/Malecki%20--%20Lowell.pdf,"Ericka Skirpan, for advice"
Mech Force Nostalgia,James Mendez Hodes,https://jamesmendezhodes.com/,"Mech Force Nostalgia is a live-action role-playing game about giant robots and their pilots exploring a world they failed to save, full of sorrow and memories. It supports two to twenty players of age seven or older and takes about two hours to play.

(is this long enough?)","robots, partnership, memory, exploration",Freeform larp;Larp;Pervasive Game/Public Play,http://www.goldencobra.org/pdf/2018/Mendes%20Hodes%20--%20Mech%20Force%20Nostalgia.pdf,
My Human of Walking,Peter S. Svensson,,"A brave group of adventurers have begun an epic quest to defeat the Dread Sorcerer, as related though fireside talks about their adventures. Yet one of them is secretly an intelligent magical weapon puppeteering an unwilling human host. At the end, this information is revealed, leading to conflict. ",Fantasy Morality Collaborative ,Freeform larp;Larp,http://www.goldencobra.org/pdf/2018/Svensson%20--%20My%20Human%20of%20Walking.pdf,
NecBromancer,Alex Rowland,@spookyslag,Bros rise from the grave to celebrate Thanksgiving and not feel feelings,"Masculinity, Dark Comedy, Hyperbole, Party",Freeform larp,http://www.goldencobra.org/pdf/2018/Rowland-NecBromancer.pdf,
Oh Thank Goodness You're Finally Here,Ben Morrow,,"A modular larp that can begin play with two players, and include others as soon as they arrive, Oh Thank Goodness You're Finally Here is an absurdist take on corporate culture, meetings, clueless executives, ""managing up"" and bullet points.","Modular, Improvisation, Zero-Prep, Spontaneous",Freeform larp,http://www.goldencobra.org/pdf/2018/Morrow%20--%20Oh%20Thank%20Goodness%20Youre%20Finally%20Here.pdf,
One Small Step,Adam Flynn,,"We went to the moon once. We don't go there anymore. This game explores what happened, what it felt like, and why we did it in the first place.
","Space, Exploration, History, Memory",Freeform larp,http://www.goldencobra.org/pdf/2018/Flynn%20--%20One%20Small%20Step.pdf,
Open Mic,Sam Liberty & Brandon Sichling,"spoiledflushgames.com
https://www.patreon.com/blsichling?fbclid=IwAR1ZMgA9Ux6k4pG0Na0LIbNRgdh1L1gJtoX7jczpk4RvQ73YwghNabdIiIc",https://www.patreon.com/blsichling?fbclid=IwAR1ZMgA9Ux6k4pG0Na0LIbNRgdh1L1gJtoX7jczpk4RvQ73YwghNabdIiIc,"performance, sobriety, addiction, public",Freeform larp;Pervasive Game/Public Play,http://www.goldencobra.org/pdf/2018/Liberty%20and%20Sichling%20--%20Open%20Mic.pdf,
OTHER PEOPLE,Raph D'Amico,laughingkaiju.com,"The aliens have won. Humanity will be eaten; the planet, obliterated. But the aliens love keepsakes! They've chosen your small community to simulate for all eternity as the last reminder of humanityâ€”if, that is, you can set aside your differences... 

","class, suburbia, simulated ""utopias"", play to lose",Freeform larp,http://www.goldencobra.org/pdf/2018/DAmico%20--%20OTHER%20PEOPLE.pdf,
Partners in Crime,Jay Treat,TreatGames.com,"Search for like-minded criminals in this party LARP, but be careful what you say to whom, because everyone's a snitch for the crimes they don't commit.","criminal, party, talking",Larp;Pervasive Game/Public Play,http://www.goldencobra.org/pdf/2018/Treat%20--%20Partners%20In%20Crime.pdf,
Pillowcases,Brie Beau Sheldon,"briecs.com
briecs.itch.io","Pillowcases is a freeform live action roleplaying game set in the late 2000s in the rural United States. Characters are guests at a Halloween party masquerade. By matching candy wrappers, they will determine whether they have a romantic encounter or a change of plans. Through the night, ghosts will haunt them, for good or ill.","intimate, emotional, spooky, group",Freeform larp;Larp,http://www.goldencobra.org/pdf/2018Sheldon%20--%20Pillowcases.pdf,
Polka Pillow Production,Martin Tegelj,https://wizvisibleink.wordpress.com/,"Polka Pillow Production aims to immerse players, if only for a moment, into a small country village, where everyone knows everyone, early to bed and early to rise is the practice and a hard days work is it's own reward. Prepare to produce pillows and practice your polkas!","Polka, Pillows, Workers cooprative",Freeform larp;Improv game,http://www.goldencobra.org/pdf/2018/Tegelj%20--%20Polka%20Pillow%20Production.pdf,
Send N00ds,Jacqueline Bryk,https://www.drivethrurpg.com/m/browser/publisher/id/13033,A cyberpunk honobono game about rush hour at a noodle joint. Can be played with or without food. ,"Social, cyberpunk, dramedy",Freeform larp;Larp,http://www.goldencobra.org/pdf/2018/Bryk%20--%20Send%20Noods.pdf,
"Soldier, Spy, Psilocybin",Julian Hyde,http://thejhyde.zone,"Ten years ago, the Empire of Dust conquered Vicen, a city of strange and sinister arts. The occupation has not gone smoothly and an active resistance movement still has a powerful presence in the city. Moments ago, soldiers entered the home of a Spy working for the resistance. A spy who one Soldier is only now realizing they know very well.","silence, eye contact, fungus",Freeform larp,"http://www.goldencobra.org/pdf/2018/Kirchner-Soldier,%20Spy,Psilocybin.pdf",
Spin the Bottle: Wedding Edition,Susanne Vejdemo,,"High Schoolers play Spin the Bottle. For each spin, we play the ensuing kiss - and then the possible future marriage proposal scene for the potential couple.

Themes: Romance; desire; daring, desperate hope.

Suggested number of players: 4 to 8 (but no upper limit)

Play time: 40min + 10 minutes per player.","drama, romance, desire, hope",Freeform larp;Larp,http://www.goldencobra.org/pdf/2018/Vejdemo%20--%20Spin%20the%20Bottle%20Wedding%20Edition!.pdf,
Stellar Drift,Randy Lubin,https://diegeticgames.com/,Explore how cultures morph during an interstellar voyage to save humanity.,"space, culture",Freeform larp;Tabletop,http://www.goldencobra.org/pdf/2018/Lubin%20R%20-%20Stellar%20Drift.pdf,
Suicidal Ideation,Jonny Garcia,https://jonnyggarcia.wordpress.com,"A Suicidal person is trying to end their lives, but they must traverse through a series of Obstacles that will try to stop them.","Suicide, Intense, Touch",Freeform larp;Larp,http://www.goldencobra.org/pdf/2018/Garcia%20-%20Suicidal%20Ideation.pdf,
Super Shredder's Neighborhood,Evan Torner,http://guyintheblackhat.wordpress.com,A dark comedy about a propietary cartoon villain from the 1990s and his one-sided relationship with his neighbors.,"Suburbs, Community, Villains, Intimidation",Freeform larp,http://www.goldencobra.org/pdf/2018/Torner%20--%20Super%20Shredders%20Neighborhood.pdf,
Tacklebox,J. Walton,,Two people fishing. Definitely nothing else going on.,"surreal, cyberpunk, internal",Freeform larp,http://www.goldencobra.org/pdf/2018/Walton%20--%20Tacklebox.pdf,
The Brett Kavanaugh Calendar Game,Aukey Wikoff,https://www.amazon.com/Aukey-Wikoff/e/B00JJ37P20/,"You play as one of Brett Kavanaugh's high school friends who is comparing their own calendar of events against Brett's. This is all in order to corroborate Brett Kavanaugh's stories so that he can get that forever job he has always dreamed of. It is up to you to clear his name, redefine sexual terms, and most of all...lie your privilege off. ","brett kavanaugh, calendar, devil's triangle",Freeform larp;Tabletop;Drinking?,http://www.goldencobra.org/pdf/2018/Wikoff%20--%20The%20Brett%20Kavanaugh%20Calendar%20Game.pdf,
The Clinic,Caroline Hobbs,lessthanthreegames.com,The Clinic is a game about abortion. Players interact as patients and clinic staff at an abortion clinic.,"abortion, pregnancy, healthcare",Freeform larp,http://www.goldencobra.org/pdf/2018/Hobbs%20-%20The%20Clinic.pdf,
The Forest of Tamtonas,Alex & Adam McConnaughey,,"The Forest of Tamtonas is filled with small magics and mysteries. Play a Sage, an avatar of primeval force; or a Seeker, sent out to uncover and explore hidden wonders.

The Forest of Tamtonas is a scavenger hunt style larp for at least 2 players, appropriate for ages 5 and up.",fairytale; scavenger hunt; all ages,Freeform larp;Larp,http://www.goldencobra.org/pdf/2018/McConnaughey%20--%20The%20Forest%20of%20Tamtonas.pdf,
The Harvest Festival,Marshall Bradshaw,https://twitter.com/DMarshallB,"A village of craftspeople are preparing for the annual Harvest Festival, a night of feasting and merrymaking (but also one of gratitude, apology, and forgiveness). Everyone is trying to make their best work to give away to their friends and loved ones on that day, while getting advice from their peers to make sure their gifts are accepted! Players alternate phases of origami-making and self-guided improvised scenes leading up to a cathartic climax.","pastoral, craft, origami, heartwarming",Freeform larp;Larp;Craft,http://www.goldencobra.org/pdf/2018/Bradshaw%20--%20The%20Harvest%20Festival.pdf,
"The Life, Death, and Apotheosis of Bastard Jim",Aleks Samoylov,"https://www.drivethrurpg.com/browse/pub/13288/Cloud-Monster-Press
https://thealeks.itch.io","Players take on the roles of actors in a small, struggling theatrical troupe. One relatively ordinary day, they learn that a Very Important Patron will be in attendance at the venue where they are currently performing, and that this VIP has specifically requested at least one performance of ""The Life, Death, and Apotheosis of Bastard Jim,"" part of an ancient theatrical tradition of partially improvised stories featuring everyone's favorite lonely traveler. It is now up to them, with their livelihoods and reputations on the line, to rally on short notice and put together a work of staggering beauty and genius.  ","performance, theater, cooperation ",Freeform larp;Larp,http://www.goldencobra.org/pdf/2018/Samoylov-Bastard%20Jim.pdf,
The Promise of Sleep,Jason Cox,https://coxart.weebly.com/artwork.html,"Five proud pillow-fighting warrior clans, 
Don iconic masks and trumpet their brands, 
They meet and discuss how best to forestall, 
The Promise of Sleep that awaits them all.",Pillow Fighting Warriors,Freeform larp;Larp,http://www.goldencobra.org/pdf/2018/Cox%20--%20The%20Promise%20of%20Sleep.pdf,
The Rat King Cometh,Atlas Sellman,koboldtime.itch.io,A revamp of a classic icebreaker game; take on the role of rats preparing for the return of their king.,"simple, rats, icebreaker",Freeform larp,http://www.goldencobra.org/pdf/2018/Sellman%20--%20The%20Rat%20King%20Cometh.pdf,
The Rite of Spring,Tayler Stokes,www.theactapart.com,"To ensure a bountiful spring you must appease the ancestors through ritual dance and sacrifice. A highly active, noisy but non-verbal, live-action adaptation of Stravinsky's â€œLe Sacre du printemps.â€","Dance, noise, primal",Freeform larp,http://www.goldencobra.org/pdf/2018/Stokes%20--%20The%20Rite%20of%20Spring.pdf,
The Three Faces of Eve,Maury Elizabeth Brown,"https://immerton.com
https://magischola.com
https://beatgenlarp.com
https://insideavernus.com","The Three Faces of Eve explores the categorization of women as maiden, mother, and crone, based on their reproductive capacity and beauty. It juxtaposes those idealized categories with the real bodily symptoms of puberty, pregnancy, and menopause, and encourages intergenerational conversations among women through a series of everyday scenarios.",feminism archetypes women freeform intergenerational,Freeform larp;Larp,http://www.goldencobra.org/pdf/2018/Brown%20--%20The%20Three%20Faces%20(or%20Hormones).pdf,
The We-ness,"Albert Kong, Anne Selke, Nathan Vanderpool, Joe Edelman","www.kong.cat
www.ko-fi.com/albertkong","The We-ness is a game about collective consciousness. Through a series of language rules, a group of players shifts away their individual identities and into the role of a hive mind navigating the world together.","Hive mind, language, pervasive, non-illusory",Freeform larp;Pervasive Game/Public Play,http://www.goldencobra.org/pdf/2018/Kong%20Selke%20Vanderpool%20Edelman%20--%20The%20We-ness.pdf,
The Widows' Market,Laure Halbany,,"After a battle, women gather to trade and share news, though they are enemies who speak almost nothing of one another's language.","language, cooperative, freedom ",Freeform larp;Pervasive Game/Public Play,http://www.goldencobra.org/pdf/2018/Halbany%20-%20The%20Widows%20Market.pdf,
This is How It is Done,Sharang Biswas,"https://sharangbiswas.myportfolio.com/
https://twitter.com/SharangBiswas","Eldest has died. Together, the Family must prepare a traditional, 5-day funeral. Having moved abroad as a child, Youngest must travel to the funeral and deliver a eulogy to their Relatives, while grappling with traditions
and customs that feel alien, but that are expected of them.

A LARP about cultural confusion, misunderstandings, and family.","culture, identity, family",Freeform larp;Larp,http://www.goldencobra.org/pdf/2018/Biswas%20--%20This%20is%20how%20it%20is%20done.pdf,
Through a Great Void,Michael Meinberg,https://goatsongrpg.wordpress.com,The trials and travails of the crew of a colony ship over the course of several generations.,"Space, multigenerational, tarot, scenes",Freeform larp;Larp,http://www.goldencobra.org/pdf/2018/Meinberg%20--%20Through%20a%20Great%20Void.pdf,
Truth or Beauty? a game of futuristic psychological horror and makeover tips,Lucian Kahn,"https://www.drivethrurpg.com/product/234653/Dead-Friend-A-Game-of-Necromancy
https://200wordrpg.github.io/2018/rpg/finalist/2018/05/23/SameBatTimeSameBatMitzvah.html",It is the year 3000 and you are inmates in a prison colony who are about to spend 90 minutes together in the beautification pod before shipment to your final destination. You will ask and answer questions. You will give and receive makeovers. Your choices are limited.,"dystopian, futuristic, makeup",Freeform larp;Larp,http://www.goldencobra.org/pdf/2018/Kahn%20--%20Truth%20or%20Beauty.pdf,
Two hours to Midnight ,Tore Vange ,,The game follows a group of people at a safe house in the last two hours of the annual night of lawlessnes. They just have to survive each other. ,"Survival, drama, intrigue ",Freeform larp;Parlour larp ,http://www.goldencobra.org/pdf/2018/Vange%20--%202%20Hours%20to%20Midnight.pdf,
What happened in Warsaw?,"Jan ""Crowen"" Rosa",,"In summer 1944, Poles started the Warsaw Uprising to fight back the Germans in occupied Warsaw, hoping, that incoming Red Army would help them. Instead, beasts crossed Vistual river and wiped out majority of people living in Warsaw, Poles, Jews, Germans, British, Russian, whoever they could find. Players are part of a small surviving military group tasked to find out what happened in Warsaw.","WWII, Warsaw, Mystery",Tabletop,http://www.goldencobra.org/pdf/2018/Rosa%20-%20What%20happened%20in%20Warsaw_.pdf,
Alien Diplomacy,Krin Irvine and Venn Sage Wylde,,,,,http://www.goldencobra.org/pdf/2018/Irvine%20and%20Wylde%20--%20Alien%20Diplomacy.pdf,
Dinner for Amateur Mind Readers,Chad Wolf,,"The families of a soon-to-wed couple meet for the first time, but things get awkward because every one of them is secretly a mind reader. While they are all capable of blocking their minds from being read complexly, embarrassing facts about each person inevitably slip","Comedy, Family Drama",Larp,http://www.goldencobra.org/pdf/2018/Wolf%20-%20Dinner%20for%20Amateur%20Mind%20Readers.pdf,
Dream a Little Dream,Joe Beason,,,,,http://www.goldencobra.org/pdf/2018/Beason%20--%20Dream%20a%20Little%20Dream.pdf,
Elf Day,Jason Morningstar,,,,,http://www.goldencobra.org/pdf/2018/Morningstar%20--%20Elf%20Day.pdf,
The Face in the Mirror Is Not Your Own,Garett Kopczynski,,,,,http://www.goldencobra.org/pdf/2018/Kopczynski%20--%20The%20Face%20in%20the%20Mirror%20is%20Not%20Your%20Own.pdf,
Fork Creek Almanac,Alex Dodge and Matt Jent,,,,,http://www.goldencobra.org/pdf/2018/Dodge%20and%20Jent%20-%20Fork%20Creek%20Almanac.pdf,
"Hello, I Must Be Going",Adrian Stein,,,,,http://www.goldencobra.org/pdf/2018/Stein%20--%20Hello%20I%20Must%20Be%20Going.pdf,
L'Dor Vador,Shayna Cook,http://www.rollinginitiative.com/,"In English, l'dor vador means ""from generation to generation."" It is the Hebrew phrase for the obligation of the Jewish people to pass down our way of life and the traditions. In this game, you play members of a Jewish family coming together for Rosh Hashanah, the Jewish New Year, where you will have the opportunity to fulfill that obligation. ","family, generations, hope, serious","Freeform larp, Larp",http://www.goldencobra.org/pdf/2018/Cook%20--%20Ldor%20Vador.pdf,
Little Town,Shawn Roske and Alex Roberts,,,,,http://www.goldencobra.org/pdf/2018/Roske%20and%20Roberts%20-%20Little%20Town.pdf,
Monster Tavern,Eli Eaton,,,,,http://www.goldencobra.org/pdf/2018/Eaton%20--%20Monster%20Tavern.pdf,
Play to Kill,Clark Timmins,,,,,http://www.goldencobra.org/pdf/2018/Timmins%20--%20Play%20to%20Kill.pdf,
The Scarred Land,Chris Dragga and Kate Hill,,"A long time ago--perhaps 100 years ago, perhaps 200--a heinous crime was committed. The passage of time has since erased it from human memory, but the lingering psychic trauma has indelibly scarred the landscape. You always had a strange affinity for this place, but in the past several months, the landscape has begun to haunt your nightmares. You have come to realize that the land is crying out for healing to all of you, the remaining relatives of the victims and the perpetrators. Over the past several weeks, you have found each other and have gathered here to set this right. To this end, you will set out upon the landscape's trails, in search of the scars that most reflect the wounds caused by this crime, mark them on your map, and ritually purify this land. Only then do you have a chance at peace.","hiking, folk horror, nature, map reading, learn a skill",,http://www.goldencobra.org/pdf/2018/Dragga%20and%20Hill%20--%20The%20Scarred%20Land.pdf,
Torch,Andy Morales C.,,,,,http://www.goldencobra.org/pdf/2018/Morales%20--%20Torch.pdf,
Toxic Santa,Pawel Jasinski,,A tragicomedy for 7+ players about toxic role models in the entertainment industry.,"workplace, harassment, rebellion","Freeform larp, Larp",http://www.goldencobra.org/pdf/2018/Jasinski%20--%20Toxic%20Santa.pdf,
Trying,Avital Lubin,,,,,http://www.goldencobra.org/pdf/2018/Lubin%20A%20--%20Trying.pdf,
Where Do We Go From Here?,Ashleigh Patterson,,,,,http://www.goldencobra.org/pdf/2018/Patterson%20-%20Where%20Do%20We%20Go%20From%20Here.pdf,
Who Do You Think You Are?,Kat Jones,,,,,http://www.goldencobra.org/pdf/2018/Jones%20--%20Who%20Do%20You%20Think%20You%20Are.pdf,
